trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00300000,2024-04-14 16:58:26,TDB_CUST_3212526,ADBE,SELL,413,201.69
TDB_00300001,2024-03-24 20:26:15,TDB_CUST_9923431,BAC,BUY,896,817.66
TDB_00300002,2024-01-08 14:16:24,TDB_CUST_5491836,NVDA,BUY,973,1513.15
TDB_00300003,2024-08-19 07:59:25,TDB_CUST_9777942,VISA,SELL,347,515.13
TDB_00300004,2024-02-20 19:00:07,TDB_CUST_4393284,MA,BUY,424,1390.39
TDB_00300005,2024-01-09 02:08:24,TDB_CUST_5439542,MSFT,SELL,934,140.71
TDB_00300006,2024-09-15 21:52:09,TDB_CUST_6026917,FB,SELL,351,806.11
TDB_00300007,2024-04-10 21:49:38,TDB_CUST_8791230,BAC,SELL,813,1363.40
TDB_00300008,2024-08-22 08:36:39,TDB_CUST_9049030,FB,BUY,599,707.14
TDB_00300009,2024-07-17 21:41:58,TDB_CUST_7870405,ADBE,SELL,522,421.26
TDB_00300010,2024-07-20 16:17:39,TDB_CUST_8369328,FB,SELL,630,763.68
TDB_00300011,2024-06-21 13:23:55,TDB_CUST_3596131,CRM,SELL,503,939.18
TDB_00300012,2024-04-08 20:54:29,TDB_CUST_2783079,UNH,BUY,635,594.67
TDB_00300013,2024-07-05 21:24:12,TDB_CUST_8441654,GOOGL,SELL,706,886.52
TDB_00300014,2024-08-08 13:00:38,TDB_CUST_1753262,PYPL,SELL,664,113.25
TDB_00300015,2024-02-21 08:46:51,TDB_CUST_8782350,DIS,SELL,210,207.74
TDB_00300016,2024-03-22 05:49:01,TDB_CUST_6371607,CRM,SELL,789,1116.21
TDB_00300017,2024-03-20 13:28:54,TDB_CUST_3861818,XOM,BUY,831,491.15
TDB_00300018,2024-06-15 01:07:40,TDB_CUST_4117984,PFE,BUY,942,1152.30
TDB_00300019,2024-07-19 16:57:45,TDB_CUST_9819447,INTC,BUY,946,832.90
TDB_00300020,2024-03-12 23:20:27,TDB_CUST_3053965,MA,BUY,718,576.54
TDB_00300021,2024-08-03 07:54:27,TDB_CUST_7642727,CRM,BUY,428,1831.30
TDB_00300022,2024-07-30 16:16:49,TDB_CUST_9009303,GOOGL,BUY,981,160.40
TDB_00300023,2024-04-21 17:15:09,TDB_CUST_7103814,CRM,SELL,285,1525.99
TDB_00300024,2024-06-09 12:56:26,TDB_CUST_9613804,NFLX,BUY,476,1708.70
TDB_00300025,2024-08-11 07:27:06,TDB_CUST_5556637,ADBE,BUY,120,1605.63
TDB_00300026,2024-06-25 18:02:51,TDB_CUST_3544296,BAC,BUY,982,119.49
TDB_00300027,2024-05-20 01:38:12,TDB_CUST_7087886,ADBE,BUY,158,1175.99
TDB_00300028,2024-03-03 10:38:09,TDB_CUST_6320594,VISA,BUY,232,738.32
TDB_00300029,2024-01-08 09:33:12,TDB_CUST_3311900,CSCO,BUY,961,481.92
TDB_00300030,2024-06-14 09:11:17,TDB_CUST_7707231,PFE,SELL,433,883.89
TDB_00300031,2024-04-25 12:39:38,TDB_CUST_3927787,T,SELL,330,1046.27
TDB_00300032,2024-06-01 09:22:42,TDB_CUST_9740858,ORCL,SELL,753,966.79
TDB_00300033,2024-08-29 14:53:28,TDB_CUST_9766976,TSLA,SELL,832,1608.28
TDB_00300034,2024-04-17 15:38:16,TDB_CUST_9848305,FB,SELL,936,121.35
TDB_00300035,2024-03-25 21:49:32,TDB_CUST_9210353,BAC,SELL,646,1843.17
TDB_00300036,2024-08-10 02:31:42,TDB_CUST_3816364,DIS,BUY,323,585.98
TDB_00300037,2024-06-13 13:26:02,TDB_CUST_5214045,PFE,SELL,401,695.88
TDB_00300038,2024-04-23 14:27:47,TDB_CUST_8021469,INTC,SELL,700,1876.15
TDB_00300039,2024-09-16 18:35:05,TDB_CUST_1359204,PFE,BUY,375,1805.94
TDB_00300040,2024-01-12 09:57:31,TDB_CUST_5845441,T,BUY,957,195.97
TDB_00300041,2024-05-10 04:35:33,TDB_CUST_8848621,GOOGL,BUY,502,939.04
TDB_00300042,2024-06-14 02:26:46,TDB_CUST_5649030,CSCO,BUY,647,242.53
TDB_00300043,2024-04-24 13:53:41,TDB_CUST_5801245,ORCL,SELL,368,813.01
TDB_00300044,2024-06-26 15:51:48,TDB_CUST_3004875,V,SELL,429,1480.12
TDB_00300045,2024-05-01 00:20:17,TDB_CUST_5793081,T,SELL,399,1404.13
TDB_00300046,2024-07-28 18:19:39,TDB_CUST_4371222,NFLX,BUY,642,1914.17
TDB_00300047,2024-07-09 11:50:42,TDB_CUST_6608071,TSLA,BUY,685,1603.11
TDB_00300048,2024-06-02 19:21:34,TDB_CUST_4911829,XOM,BUY,325,1276.96
TDB_00300049,2024-01-04 03:20:32,TDB_CUST_7753933,NFLX,SELL,441,1753.89
TDB_00300050,2024-03-16 13:49:15,TDB_CUST_9808928,CRM,BUY,868,1701.66
TDB_00300051,2024-03-08 07:11:03,TDB_CUST_5429735,UNH,SELL,690,362.81
TDB_00300052,2024-06-20 15:36:36,TDB_CUST_7013757,FB,BUY,644,355.06
TDB_00300053,2024-02-04 13:25:58,TDB_CUST_9130398,CRM,BUY,906,1736.73
TDB_00300054,2024-02-13 14:32:43,TDB_CUST_9511523,FB,SELL,108,1727.40
TDB_00300055,2024-03-12 23:20:48,TDB_CUST_3266834,AMZN,SELL,328,932.55
TDB_00300056,2024-04-25 20:37:02,TDB_CUST_4195201,VISA,SELL,719,1684.50
TDB_00300057,2024-07-28 05:03:33,TDB_CUST_4051175,AMZN,BUY,210,1755.37
TDB_00300058,2024-03-17 02:30:06,TDB_CUST_1158084,UNH,BUY,183,344.36
TDB_00300059,2024-05-06 01:26:42,TDB_CUST_8077908,T,BUY,357,1184.00
TDB_00300060,2024-08-25 12:20:01,TDB_CUST_4485710,DIS,BUY,457,538.19
TDB_00300061,2024-05-23 20:15:14,TDB_CUST_1151230,VZ,BUY,328,1965.35
TDB_00300062,2024-04-25 02:50:25,TDB_CUST_6375606,T,SELL,136,1839.76
TDB_00300063,2024-06-26 17:52:57,TDB_CUST_6983712,T,BUY,823,795.02
TDB_00300064,2024-06-30 01:39:51,TDB_CUST_5725268,INTC,BUY,228,130.59
TDB_00300065,2024-06-18 14:35:50,TDB_CUST_9378351,BAC,BUY,223,1707.65
