trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00650000,2024-01-26 22:15:33,TDB_CUST_8484136,CSCO,SELL,608,363.67
TDB_00650001,2024-05-28 12:01:45,TDB_CUST_3292690,AMZN,BUY,218,1528.07
TDB_00650002,2024-08-05 00:20:53,TDB_CUST_3598096,FB,BUY,564,321.56
TDB_00650003,2024-07-05 17:56:19,TDB_CUST_2094384,VZ,BUY,404,477.68
TDB_00650004,2024-08-12 03:06:55,TDB_CUST_7946661,AMZN,SELL,450,1149.53
TDB_00650005,2024-06-11 12:04:42,TDB_CUST_5783775,PFE,SELL,977,1828.18
TDB_00650006,2024-03-25 12:42:17,TDB_CUST_1432951,VISA,BUY,880,1988.33
TDB_00650007,2024-06-06 15:52:36,TDB_CUST_6053676,UNH,SELL,630,794.92
TDB_00650008,2024-09-09 18:22:20,TDB_CUST_1361372,AMZN,SELL,465,1901.64
TDB_00650009,2024-06-05 22:07:51,TDB_CUST_9531680,ORCL,BUY,294,1457.34
TDB_00650010,2024-05-27 08:19:18,TDB_CUST_6428228,V,SELL,634,1297.44
TDB_00650011,2024-09-18 23:35:02,TDB_CUST_9616576,AMZN,SELL,297,1641.18
TDB_00650012,2024-06-29 12:47:23,TDB_CUST_8041260,ADBE,BUY,872,1369.03
TDB_00650013,2024-03-17 00:40:11,TDB_CUST_3103787,PFE,BUY,112,1276.45
TDB_00650014,2024-07-09 15:05:00,TDB_CUST_6549529,MA,BUY,935,1086.79
TDB_00650015,2024-08-18 08:49:19,TDB_CUST_7161694,ADBE,SELL,912,354.34
TDB_00650016,2024-02-03 07:57:46,TDB_CUST_5482212,PFE,SELL,492,679.71
TDB_00650017,2024-05-24 22:14:51,TDB_CUST_2603710,PYPL,BUY,567,654.26
TDB_00650018,2024-03-18 16:44:32,TDB_CUST_2397304,FB,BUY,258,588.83
TDB_00650019,2024-01-12 02:33:57,TDB_CUST_9735350,CRM,SELL,521,1444.52
TDB_00650020,2024-05-21 05:00:59,TDB_CUST_4564069,JPM,SELL,779,143.04
TDB_00650021,2024-01-06 13:28:12,TDB_CUST_5014351,MSFT,SELL,899,224.58
TDB_00650022,2024-06-06 09:24:50,TDB_CUST_1908013,TSLA,SELL,490,1122.58
TDB_00650023,2024-08-07 12:24:39,TDB_CUST_1042919,VZ,BUY,994,785.01
TDB_00650024,2024-08-09 21:48:42,TDB_CUST_9521136,ORCL,BUY,222,357.51
