trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00800000,2024-01-20 06:36:16,TDB_CUST_6425291,XOM,BUY,366,1011.57
TDB_00800001,2024-07-23 09:27:54,TDB_CUST_5756228,T,BUY,463,784.66
TDB_00800002,2024-04-14 21:58:15,TDB_CUST_9113615,GOOGL,BUY,978,658.51
TDB_00800003,2024-07-30 23:36:50,TDB_CUST_5038422,UNH,SELL,841,461.87
TDB_00800004,2024-07-05 19:46:18,TDB_CUST_7072424,ORCL,BUY,461,796.47
TDB_00800005,2024-07-19 16:04:19,TDB_CUST_5080645,NFLX,SELL,538,1452.86
TDB_00800006,2024-09-20 17:11:06,TDB_CUST_9796119,VZ,SELL,948,865.61
TDB_00800007,2024-03-14 04:42:52,TDB_CUST_4071896,ORCL,SELL,593,1877.76
TDB_00800008,2024-02-25 08:21:09,TDB_CUST_8246493,GOOGL,BUY,547,622.35
TDB_00800009,2024-01-01 03:17:31,TDB_CUST_2836950,CRM,BUY,113,976.64
TDB_00800010,2024-09-19 07:06:00,TDB_CUST_2914262,ORCL,SELL,346,1161.82
TDB_00800011,2024-09-23 10:18:11,TDB_CUST_1742049,T,SELL,730,483.57
TDB_00800012,2024-07-04 12:24:26,TDB_CUST_2972118,V,SELL,573,565.67
TDB_00800013,2024-05-26 08:26:37,TDB_CUST_1844024,FB,BUY,134,1768.19
TDB_00800014,2024-03-22 17:25:07,TDB_CUST_8640775,AMZN,BUY,508,1727.28
TDB_00800015,2024-05-26 18:06:46,TDB_CUST_1875421,UNH,SELL,720,441.63
TDB_00800016,2024-02-11 17:26:35,TDB_CUST_2474453,AAPL,BUY,324,1610.45
TDB_00800017,2024-07-11 07:32:28,TDB_CUST_8397546,CRM,SELL,144,759.95
TDB_00800018,2024-09-08 06:35:16,TDB_CUST_5460370,BAC,BUY,891,825.95
TDB_00800019,2024-09-30 10:26:55,TDB_CUST_4533790,GOOGL,BUY,817,374.52
TDB_00800020,2024-03-22 07:31:10,TDB_CUST_2925765,MA,SELL,147,650.93
TDB_00800021,2024-03-30 02:32:05,TDB_CUST_7370267,FB,SELL,649,241.59
TDB_00800022,2024-06-19 18:46:05,TDB_CUST_2862741,PFE,SELL,542,121.13
TDB_00800023,2024-08-10 19:54:30,TDB_CUST_1970301,MSFT,SELL,809,721.61
TDB_00800024,2024-01-20 01:49:09,TDB_CUST_4982642,FB,SELL,760,1279.53
TDB_00800025,2024-04-24 04:57:38,TDB_CUST_6656972,VISA,SELL,283,1437.92
TDB_00800026,2024-02-17 20:04:07,TDB_CUST_3263180,UNH,BUY,686,1804.90
TDB_00800027,2024-04-29 20:10:16,TDB_CUST_7645092,CSCO,BUY,168,1414.84
TDB_00800028,2024-09-09 15:34:37,TDB_CUST_7992982,NFLX,BUY,316,159.16
TDB_00800029,2024-07-23 16:27:09,TDB_CUST_8301297,BAC,BUY,701,1217.82
TDB_00800030,2024-01-29 06:51:23,TDB_CUST_4587196,PYPL,SELL,382,375.26
TDB_00800031,2024-06-26 11:46:06,TDB_CUST_8962948,AMZN,BUY,803,1235.15
TDB_00800032,2024-08-24 10:48:20,TDB_CUST_5621447,T,SELL,135,292.60
TDB_00800033,2024-06-06 12:07:26,TDB_CUST_6341402,INTC,BUY,583,285.72
TDB_00800034,2024-08-20 15:28:16,TDB_CUST_7057999,VISA,SELL,447,1224.87
TDB_00800035,2024-08-23 20:32:10,TDB_CUST_6438070,GOOGL,BUY,775,1562.51
TDB_00800036,2024-07-25 02:13:59,TDB_CUST_6196060,VISA,SELL,130,189.89
TDB_00800037,2024-08-18 22:51:23,TDB_CUST_6492253,AMZN,BUY,564,844.94
TDB_00800038,2024-06-25 02:18:02,TDB_CUST_5119981,TSLA,BUY,171,105.53
TDB_00800039,2024-03-14 11:19:45,TDB_CUST_9084855,AAPL,SELL,678,1879.13
TDB_00800040,2024-08-17 00:57:57,TDB_CUST_4776956,UNH,BUY,882,1090.91
TDB_00800041,2024-08-18 07:02:07,TDB_CUST_3427935,NVDA,BUY,670,1595.13
TDB_00800042,2024-05-29 15:18:38,TDB_CUST_9260195,TSLA,SELL,767,1764.54
TDB_00800043,2024-04-09 02:27:32,TDB_CUST_6535814,XOM,BUY,999,649.26
TDB_00800044,2024-04-05 04:30:02,TDB_CUST_6661861,UNH,SELL,157,270.55
TDB_00800045,2024-01-11 20:38:06,TDB_CUST_8867043,VZ,BUY,756,1052.58
TDB_00800046,2024-04-02 15:09:05,TDB_CUST_9558965,VZ,SELL,768,1320.86
TDB_00800047,2024-08-14 02:00:53,TDB_CUST_1723962,ORCL,BUY,533,1712.74
TDB_00800048,2024-05-29 22:45:42,TDB_CUST_5173099,WMT,BUY,272,1110.88
TDB_00800049,2024-09-14 02:28:20,TDB_CUST_6512650,V,BUY,998,115.84
TDB_00800050,2024-01-26 06:05:46,TDB_CUST_9792251,MSFT,BUY,166,630.74
TDB_00800051,2024-01-02 17:21:54,TDB_CUST_5529384,DIS,SELL,981,1950.10
TDB_00800052,2024-09-09 03:41:04,TDB_CUST_7414921,VZ,BUY,261,1961.66
TDB_00800053,2024-06-01 19:11:56,TDB_CUST_5636620,PYPL,BUY,710,493.03
TDB_00800054,2024-06-16 23:32:31,TDB_CUST_6584763,NFLX,BUY,549,1786.12
TDB_00800055,2024-04-21 10:11:51,TDB_CUST_4962995,V,SELL,165,827.11
