trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00900000,2024-01-07 23:32:31,TDB_CUST_2501937,JPM,SELL,506,1130.71
TDB_00900001,2024-03-02 22:27:59,TDB_CUST_6714964,PYPL,BUY,362,1725.86
TDB_00900002,2024-03-27 08:17:29,TDB_CUST_4279640,INTC,BUY,571,1006.28
TDB_00900003,2024-06-30 22:26:08,TDB_CUST_8833742,CRM,BUY,794,1612.17
TDB_00900004,2024-01-22 14:43:33,TDB_CUST_1840726,TSLA,SELL,638,821.77
TDB_00900005,2024-08-10 06:55:07,TDB_CUST_3956812,BAC,BUY,766,1417.27
TDB_00900006,2024-02-29 06:24:21,TDB_CUST_8968650,GOOGL,SELL,211,319.82
TDB_00900007,2024-09-02 03:02:02,TDB_CUST_3364090,VZ,BUY,449,1737.73
TDB_00900008,2024-05-02 17:20:04,TDB_CUST_4550777,V,SELL,816,962.28
TDB_00900009,2024-07-31 05:50:51,TDB_CUST_4062069,DIS,SELL,995,120.29
TDB_00900010,2024-02-10 07:07:12,TDB_CUST_1975001,PFE,SELL,711,918.79
TDB_00900011,2024-07-23 21:59:12,TDB_CUST_9113164,PFE,BUY,746,1777.51
TDB_00900012,2024-03-21 03:53:29,TDB_CUST_4133761,PYPL,BUY,420,1352.51
TDB_00900013,2024-05-30 05:31:42,TDB_CUST_2410974,WMT,BUY,916,1728.09
TDB_00900014,2024-09-29 02:06:53,TDB_CUST_4400703,ADBE,SELL,984,1997.84
TDB_00900015,2024-09-18 09:51:30,TDB_CUST_4566497,NVDA,BUY,485,185.19
TDB_00900016,2024-07-13 10:32:59,TDB_CUST_5494110,NVDA,SELL,142,523.90
TDB_00900017,2024-01-13 10:42:32,TDB_CUST_2083829,INTC,BUY,649,1882.28
TDB_00900018,2024-08-15 16:56:38,TDB_CUST_3444274,CRM,BUY,706,263.57
TDB_00900019,2024-01-29 19:04:58,TDB_CUST_6093220,PFE,BUY,383,568.24
TDB_00900020,2024-07-15 15:39:03,TDB_CUST_6068690,ADBE,SELL,952,1859.32
TDB_00900021,2024-06-04 11:11:23,TDB_CUST_2506099,DIS,SELL,808,320.43
TDB_00900022,2024-09-30 09:08:23,TDB_CUST_4519892,AAPL,BUY,561,1411.10
TDB_00900023,2024-08-31 07:07:07,TDB_CUST_4896041,MA,BUY,176,1700.83
TDB_00900024,2024-05-24 10:13:20,TDB_CUST_2981544,DIS,SELL,950,1209.32
TDB_00900025,2024-03-29 23:48:07,TDB_CUST_9197162,JPM,SELL,486,1425.39
TDB_00900026,2024-08-13 01:11:50,TDB_CUST_8513549,VISA,SELL,665,273.83
TDB_00900027,2024-06-25 00:55:47,TDB_CUST_4799122,V,BUY,774,1619.59
TDB_00900028,2024-05-30 02:06:32,TDB_CUST_4223392,FB,SELL,210,1881.79
TDB_00900029,2024-03-09 14:48:42,TDB_CUST_8853076,NFLX,SELL,745,687.82
TDB_00900030,2024-02-14 18:53:33,TDB_CUST_8647535,XOM,BUY,930,1455.04
TDB_00900031,2024-08-07 19:54:48,TDB_CUST_5744556,INTC,BUY,572,1293.19
TDB_00900032,2024-02-02 14:09:12,TDB_CUST_8600397,NFLX,SELL,550,357.49
TDB_00900033,2024-01-24 23:50:26,TDB_CUST_3299751,ORCL,SELL,366,994.02
TDB_00900034,2024-09-08 16:59:09,TDB_CUST_9925689,DIS,BUY,326,1905.37
TDB_00900035,2024-02-16 05:26:19,TDB_CUST_9649643,CSCO,SELL,403,1735.36
TDB_00900036,2024-02-13 12:17:00,TDB_CUST_2988508,GOOGL,SELL,577,325.12
TDB_00900037,2024-07-07 23:33:32,TDB_CUST_9768856,DIS,SELL,283,1627.05
TDB_00900038,2024-08-31 13:34:21,TDB_CUST_3413377,NFLX,SELL,918,334.40
TDB_00900039,2024-08-21 08:41:03,TDB_CUST_9893650,VZ,SELL,610,1600.48
TDB_00900040,2024-05-30 04:14:06,TDB_CUST_2872666,VISA,SELL,293,1442.42
TDB_00900041,2024-06-04 00:32:11,TDB_CUST_5202254,VISA,BUY,907,1069.65
TDB_00900042,2024-06-07 18:05:29,TDB_CUST_4877346,MSFT,BUY,357,1081.69
TDB_00900043,2024-02-05 09:22:42,TDB_CUST_1535456,ADBE,BUY,731,1208.18
TDB_00900044,2024-06-18 18:10:27,TDB_CUST_2823748,NFLX,SELL,719,1589.43
TDB_00900045,2024-06-03 23:12:26,TDB_CUST_5333426,AAPL,SELL,408,695.13
TDB_00900046,2024-04-29 14:20:10,TDB_CUST_6550672,NVDA,SELL,143,136.83
TDB_00900047,2024-07-17 05:29:12,TDB_CUST_3913000,PFE,BUY,599,988.52
TDB_00900048,2024-07-25 04:14:43,TDB_CUST_4785145,ORCL,SELL,904,702.94
TDB_00900049,2024-01-07 00:52:14,TDB_CUST_3531323,MA,SELL,834,1376.17
TDB_00900050,2024-02-04 13:48:54,TDB_CUST_2845647,ADBE,SELL,445,1708.00
TDB_00900051,2024-04-17 19:50:15,TDB_CUST_4760066,PYPL,BUY,296,1603.55
TDB_00900052,2024-01-12 22:43:24,TDB_CUST_9111134,MSFT,SELL,836,1589.23
TDB_00900053,2024-01-17 18:36:37,TDB_CUST_5639226,INTC,SELL,897,1477.17
TDB_00900054,2024-07-02 09:15:35,TDB_CUST_6833548,MA,BUY,631,976.70
TDB_00900055,2024-08-24 20:44:22,TDB_CUST_8209804,ADBE,SELL,839,189.89
TDB_00900056,2024-05-02 00:13:44,TDB_CUST_9457755,XOM,BUY,470,1528.61
TDB_00900057,2024-09-03 17:38:52,TDB_CUST_8109982,VZ,BUY,450,200.91
TDB_00900058,2024-07-05 14:50:40,TDB_CUST_2353422,V,BUY,530,1436.74
TDB_00900059,2024-08-21 18:35:05,TDB_CUST_2816067,ADBE,BUY,680,831.95
TDB_00900060,2024-08-17 14:44:47,TDB_CUST_5155917,NFLX,SELL,754,1485.89
TDB_00900061,2024-09-05 18:13:34,TDB_CUST_4953687,WMT,BUY,481,286.87
TDB_00900062,2024-01-11 00:07:16,TDB_CUST_7781030,CRM,BUY,899,1218.21
