trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00050000,2024-05-09 12:02:43,TDB_CUST_3104872,CSCO,SELL,371,383.11
TDB_00050001,2024-08-18 19:13:28,TDB_CUST_8220189,UNH,SELL,220,1259.92
TDB_00050002,2024-03-16 09:48:02,TDB_CUST_2717816,GOOGL,SELL,537,1022.14
TDB_00050003,2024-03-18 22:11:08,TDB_CUST_2130359,T,SELL,309,1975.92
TDB_00050004,2024-04-20 16:29:14,TDB_CUST_1633778,ADBE,SELL,170,1835.01
TDB_00050005,2024-05-15 00:14:35,TDB_CUST_8247304,PFE,SELL,145,270.57
TDB_00050006,2024-05-10 14:38:11,TDB_CUST_2535250,NFLX,SELL,343,1135.22
TDB_00050007,2024-05-17 05:49:16,TDB_CUST_5505944,GOOGL,BUY,334,1364.22
TDB_00050008,2024-08-02 12:43:59,TDB_CUST_8695185,WMT,SELL,983,849.00
TDB_00050009,2024-06-13 02:45:59,TDB_CUST_9736768,MA,BUY,496,1601.40
TDB_00050010,2024-02-04 16:03:24,TDB_CUST_6582088,PFE,SELL,743,1611.64
TDB_00050011,2024-05-09 07:09:51,TDB_CUST_7756891,XOM,BUY,901,1343.31
TDB_00050012,2024-02-20 08:46:04,TDB_CUST_3600284,PYPL,SELL,269,1939.39
TDB_00050013,2024-04-23 16:57:37,TDB_CUST_7301090,UNH,SELL,715,112.39
TDB_00050014,2024-09-12 17:27:12,TDB_CUST_2142444,MA,SELL,236,1007.19
TDB_00050015,2024-05-27 13:29:31,TDB_CUST_7903014,AAPL,BUY,716,182.70
TDB_00050016,2024-08-16 19:03:22,TDB_CUST_6727436,AAPL,BUY,349,534.58
TDB_00050017,2024-04-13 07:02:17,TDB_CUST_1538224,VZ,SELL,552,331.50
TDB_00050018,2024-01-11 08:25:19,TDB_CUST_4844573,VZ,SELL,303,1080.48
TDB_00050019,2024-04-21 00:24:48,TDB_CUST_2721783,NVDA,SELL,430,728.81
TDB_00050020,2024-01-25 18:20:41,TDB_CUST_2356067,VZ,SELL,846,1803.79
TDB_00050021,2024-08-03 10:58:06,TDB_CUST_3091725,INTC,BUY,293,232.25
TDB_00050022,2024-05-15 15:14:20,TDB_CUST_1995760,VISA,SELL,859,1745.02
TDB_00050023,2024-05-30 13:46:40,TDB_CUST_9675040,ADBE,BUY,120,1009.42
TDB_00050024,2024-05-26 14:54:36,TDB_CUST_1825104,JPM,SELL,516,1237.85
TDB_00050025,2024-07-21 14:46:55,TDB_CUST_4262108,PFE,BUY,526,1748.04
TDB_00050026,2024-04-16 20:32:43,TDB_CUST_7751939,VISA,SELL,744,155.00
